GeneName
AIF1
DGKK
PLEKHA1
PSMB5
NOX1
CD36
GCLM
GCLC
TLDC2
FOS
FER
MMP9
SESN2
ERCC6
PRKN
SLC25A24
NUDT1
NDUFS8
PTGS1
PJVK
PXDN
ZFAND1
PAX2
CYGB
TXN2
SIGMAR1
TMIGD1
FYN
SRXN1
CCS
FKBP1B
PKD2
PDLIM1
TP53
PPARGC1B
PTPRK
GPX8
ARNTL
PDGFRA
ATRN
GPX4
STK25
PYROXD1
MSRB3
SIRT2
S100A7
MMP2
VRK2
SOD3
PON2
PRKD1
PDK2
PDK1
FOSL1
GLRX2
ZNF277
SELENOP
ENDOG
SELENON
OGG1
ADAM9
COA8
GSKIP
ALAD
CRK
CAMKK2
MAPK13
PDGFD
MAPK7
PRDX4
OSER1
KDM6B
GPX6
STAU2
ADPRS
CRYAB
AGAP3
ANKZF1
GSTP1
ECT2
ERCC3
COL1A1
SELENOS
TREX1
ERCC1
PRKAA1
UCP3
AQP1
TPM1
PAGE4
NDUFA6
SOD2
PRNP
SPHK1
PNKP
SIN3A
CHUK
SRC
PLA2R1
APOE
ALS2
PDGFRB
HMOX1
GPX7
DHRS2
CAT
MYEF2
MMP14
ERCC8
RIPK1
FANCD2
SIRPA
NCF1
PPP1R15B
PINK1
PARP1
ERCC6L2
GPX3
CA3
TAT
STK24
NDUFS2
KLF2
PRDX2
NFE2L2
ETFDH
STAU1
AKR1C3
SELENOK
APEX1
PYCR1
NEIL1
SOD1
GSR
FABP1
PYCR2
NDUFA12
IL18BP
SNCA
WNT16
AXL
HMOX2
ABCB11
SLC4A11
PSIP1
MAPT
ERN1
RGS14
NCOA7
LPO
MT-CO1
ARNT
CASP3
BCL2
SIRT1
CRYGD
MAPK3
RIPK3
ATP7A
CYB5B
MSRB2
MSRA
VNN1
PPIA
AIFM1
SLC23A2
CHCHD2
MELK
ZC3H12A
HNRNPM
ERO1A
SCARA3
ZNF580
PSEN1
RHOB
PPP2CB
STAT6
STAT1
THG1L
MTF1
JUN
PRODH
RBPMS
PLK3
ARL6IP5
MAP1LC3A
TRPA1
CAPN2
GJB2
GPX5
ANGPTL7
FXN
NAPRT
MPV17
PCNA
FOXO3
DIABLO
TP53INP1
HAO1
HBA1
LIAS
PXN
TXNIP
TBC1D24
HSPA1B
HSPA1A
KCNA5
IDH1
OXSR1
TXNRD2
SLC8A1
EGFR
ABL1
GPX1
TPO
PML
ETV5
BRF2
ADNP2
HP
CYP1B1
HIF1A
BAK1
HTRA2
UCP1
STX2
ATP13A2
C19orf12
MGAT3
PRKRA
BANF1
BTK
EDN1
NQO1
AREG
RELA
NFE2L1
MT3
BECN1
IL6
NOS3
PRKAA2
RWDD1
NDUFB4
HYAL2
SLC7A11
STX4
ZNF622
ROMO1
HYAL1
KRT1
TMEM161A
ANKRD2
PDCD10
IMPACT
SMPD3
EIF2S1
CYP2E1
MPO
RRM2B
JAK2
PRR5L
ATF2
APP
MT-ND6
MT-ND5
STK26
APOD
ARG1
PTK2B
CD38
RPS3
NET1
CPEB2
PPARGC1A
BNIP3
MT-ND3
SUMO4
MAPK9
MAPK8
WRN
DUOX2
DUOX1
MICB
FOXO1
RBM11
PPIF
TACR1
EDNRA
UCP2
PTGS2
GBA1
NUDT15
ANXA1
HDAC6
HSF1
ABCC1
OXR1
FANCC
XRCC1
ATF4
SDC1
KEAP1
NUDT2
PRDX3
PRDX5
PRDX6
IL1A
NME8
UCN
CHRNA4
PRKCD
DHCR24
ATP2A2
ERCC2
ADIPOQ
LONP1
RCAN1
SETX
SCGB1A1
EPX
ERMP1
TNFAIP3
CDK1
PXDNL
BAD
AKT1
SGK2
APTX
SP1
PNPT1
GPX2
LRRK2
MGMT
MAPK1
VKORC1L1
PENK
HBB
NR4A2
ALDH3B1
RAD52
HDAC2
PARK7
STC2
MAP3K5
G6PD
APOA4
MBL2
MGST1
DAPK1
GSS
TOR1A
PCGF2
IPCEF1
SLC1A1
EPAS1
PRDX1
TRPM2
ATOX1
EZH2
RNF112
MET
WNT1
NONO
RACK1
MMP3
TREM2
NME5
NOL3
HGF
PDE8A
REST
GPR37
MEAK7
TXN
IL10
LANCL1
TLR6
PAWR
P4HB
UBQLN1
DDR2
MCL1
TNF
BAG5
FOXP1
FBXW7
SFPQ
GPR37L1
FZD1
TRAP1
NR4A3
TSC1
INS
FBXO7
GATA4
GFER
CTNNB1
TLR4
HSPB1
ALOX5
FUT8
GCH1
DHFR
FBLN5
PNPLA8
MAPKAP1
AIFM2
ABCD1
BMP7
ACOX2
OSGIN2
OSGIN1
ALKBH2
ALKBH3
FTO
MCTP1
GGT7
ALKBH1
ALKBH5
SLC25A23
DNAJC15
SESN3
SESN1
MT-RNR2
STOX1
SHPK
MT-ATP6
NUPR1
AK4
SDHD
TDG
BID
PDE12
MT-CO2
MT-ND4
STOML2
MACROH2A1
PTPRN
VCP
TWIST1
NDUFC2
SHMT2
RHOA
MSH2
GBA
MIRLET7B
MIR133A1
MIR17
MIR195
MIR19A
MIR21
MIR29B1
MIR34A
MIR92A1
PRKCA
MAFG
GSTA2
POR
CRYZ
MAFF
MAPK14
FXYD2
MAFK
PRKCB
AKR7A2
CREB1
MIR675
H19
MIR132
CHD6
HEBP2
DHFRP1
CLN8
HBA2
MIR103A1
MIR107
BTG1
UBE3A
RBX1
SOD2-OT1
CYBB
CYP1A1
GSTT2
JUNB
MAOA
MT1X
NFIX
NFKB1
NOX4
NOX3
UGT1A6
MAPK10
TXNRD1
XDH
ANXA2
